Country,Country Code,Percent Annual Inflation in Year 1961,Percent Annual Inflation in Year 1962,Percent Annual Inflation in Year 1963,Percent Annual Inflation in Year 1964,Percent Annual Inflation in Year 1965,Percent Annual Inflation in Year 1966,Percent Annual Inflation in Year 1967,Percent Annual Inflation in Year 1968,Percent Annual Inflation in Year 1969,Percent Annual Inflation in Year 1970,Percent Annual Inflation in Year 1971,Percent Annual Inflation in Year 1972,Percent Annual Inflation in Year 1973,Percent Annual Inflation in Year 1974,Percent Annual Inflation in Year 1975,Percent Annual Inflation in Year 1976,Percent Annual Inflation in Year 1977,Percent Annual Inflation in Year 1978,Percent Annual Inflation in Year 1979,Percent Annual Inflation in Year 1980,Percent Annual Inflation in Year 1981,Percent Annual Inflation in Year 1982,Percent Annual Inflation in Year 1983,Percent Annual Inflation in Year 1984,Percent Annual Inflation in Year 1985,Percent Annual Inflation in Year 1986,Percent Annual Inflation in Year 1987,Percent Annual Inflation in Year 1988,Percent Annual Inflation in Year 1989,Percent Annual Inflation in Year 1990,Percent Annual Inflation in Year 1991,Percent Annual Inflation in Year 1992,Percent Annual Inflation in Year 1993,Percent Annual Inflation in Year 1994,Percent Annual Inflation in Year 1995,Percent Annual Inflation in Year 1996,Percent Annual Inflation in Year 1997,Percent Annual Inflation in Year 1998,Percent Annual Inflation in Year 1999,Percent Annual Inflation in Year 2000,Percent Annual Inflation in Year 2001,Percent Annual Inflation in Year 2002,Percent Annual Inflation in Year 2003,Percent Annual Inflation in Year 2004,Percent Annual Inflation in Year 2005,Percent Annual Inflation in Year 2006,Percent Annual Inflation in Year 2007,Percent Annual Inflation in Year 2008,Percent Annual Inflation in Year 2009,Percent Annual Inflation in Year 2010,Percent Annual Inflation in Year 2011,Percent Annual Inflation in Year 2012,Percent Annual Inflation in Year 2013,Percent Annual Inflation in Year 2014,Percent Annual Inflation in Year 2015,Percent Annual Inflation in Year 2016,Percent Annual Inflation in Year 2017,Percent Annual Inflation in Year 2018,Percent Annual Inflation in Year 2019,Percent Annual Inflation in Year 2020
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,3.600697472,3.092279566,3.9678169519999997,5.815737982999999,5.61212678,3.7925749669999997,5.2965236430000004,6.30314766,3.3706373380000003,3.280212543,3.705588265,6.569147248999999,2.199878004,1.048271456,5.62905761,4.527475306,2.098111468,2.1709635130000002,3.332794823,2.945294623,5.949806916,5.072878451,1.727073333,-0.6770541729999999,3.107300649,0.789086084,3.2866855760000004,2.003480469,0.43992399299999996,-1.371485004,1.6140515469999999,,,
Africa Eastern and Southern,AFE,1.861701136,0.979877966,3.285363658,3.7269776230000002,3.569950903,4.05454687,1.35648539,3.397722794,5.221106475,4.736090108,4.664180023,10.18139846,11.90087581,15.43908606,11.93375313,10.03770758,10.80487889,11.18179352,15.12342211,19.20529476,10.85307727,7.697471776,11.55684173,11.47755752,16.8151829,13.50928432,11.73578352,20.08110092,14.79823437,11.92630484,12.5319619,14.25313768,13.87050259,10.97042674,12.81651843,14.45311141,9.018940746,8.269554835,8.006813278,11.11730588,8.629983989,9.459264972,8.112711761,9.839590572999999,7.40752901,8.5925531,8.259568143,11.46303978,7.570212428,6.128432432,9.430270472,6.992016281000001,5.844111401,5.4011640839999995,5.366462298,6.400900453999999,5.217430866,4.095047398999999,4.252788644,5.373589142
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65523821,11.27143207,10.91277355,7.199751289,22.5277562,2.096288749,-2.163404428,3.8146303169999998,16.59334673,7.301756471,4.822785478999999,0.566944541,2.447563002,-2.197526466,2.4036561880000002,2.071348579,6.521479845,7.821667127
Africa Western and Central,AFW,3.336148292,2.432663329,3.013917156,2.906177951,2.752431713,4.143078923,1.280375351,2.031464939,4.838560996,3.710455212,4.189196488,5.145810773,7.198996005,13.42263913,8.586772086,12.05477256,11.04310831,7.6673915479999994,11.17393953,11.97824902,10.62528702,13.82055905,9.927936399,11.31505003,5.297213502,0.020467795,1.684563425,3.4085566,3.584859041,6.668941872,3.0734989660000003,0.738816824,2.378321824,25.06204274,7.6808340920000004,6.907293665,3.6675091739999996,5.387361397,7.6120781939999995,5.28980486,4.3199575,2.2400606819999997,1.718821631,5.681951338999999,6.688933946000001,4.64332214,4.761878299999999,9.576757408999999,1.396219053,5.004665298,8.789841293,4.730094835,1.5731353680000002,0.280788087,1.9928463,1.784171968,1.759105769,2.639371706,1.582289576,1.128351692
Angola,AGO,,,,,,,,,,,,,,,,,,,,,-2.100306165,0.0,0.01276356,0.001188112,19.03520574,-9.01306192,9.823311352000001,2.213774449,16.27966269,14.00743982,106.30998229999999,476.51575089999994,917.7834684000001,2175.978955,1825.4951489999999,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.35212549999999,196.9841052,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,32.26344232,31.77154919,7.255670453,2.839789071,3.560820798,-3.518386388,21.77424002,22.61451153,29.06595449,28.09067716,9.385221445
Albania,ALB,,,,,,,,,,,,,,,,,,,,,-2.139571986,-0.017719099999999998,-0.016755172,-0.028360257000000003,0.35122234700000005,-2.417300429,-0.000306093,-0.00057858,0.003679161,-0.43136881299999996,35.51424696,232.98465890000003,125.6508142,35.84247522,9.97066268,38.17205819,11.23964449,6.730859897,2.102849988,5.647471475,3.810857369,3.6474762739999997,5.198635304,3.1523689260000003,3.306818153,2.478188885,4.386709379,4.117085428,2.418336057,4.493143203,2.3147437969999998,1.0427146059999999,0.28874596399999997,1.549917068,0.563991354,-0.6326534189999999,1.451062699,1.473058102,1.2210094759999999,-0.44764905299999996
Andorra,AND,,,,,,,,,,,7.845870992,8.518077713,11.84943386,15.9452013,16.78179541,16.48985721,23.38309256,20.63104141,16.93168907,13.35481385,12.35117322,13.58234983,11.88423525,10.86473437,8.595463761,10.87881526,5.94419881,5.936124989,6.896207147999999,7.326243654,6.9351483620000005,6.710768961,4.537232147,3.879858322,4.9331210489999995,0.7971777290000001,2.228160307,1.4995538430000002,2.731979525,28.7415529,3.080535179,3.23953177,3.1774842160000003,3.0424239980000003,3.39610213,3.457184087,3.2112273410000003,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.44849220000000006,-0.084019317,0.660588959,0.34779538200000004,1.136509343,1.01247848,1.3747535080000002,1.058095638
Arab World,ARB,,,,,,,,,1.112975943,3.467698425,6.561872548999999,2.88672356,11.394036300000002,24.39472609,5.914022108999999,8.888892613,9.794714912,8.417213279,13.98783792,14.88202012,11.41074801,6.529705855,7.255798771,6.981202746,4.972526402,7.260251667,8.842020422000001,5.383194826,8.703414505,14.82779268,7.982051338,5.716743769,4.691343344,7.8737170579999995,6.678312513,5.064819641000001,3.108423375,-1.924400642,6.626778598,10.44234504,0.7157975670000001,3.970747733,5.016239685,11.02378422,15.3553048,9.278603357,8.435516095,16.47924069,-5.74274653,11.79674107,14.34831432,4.7870453710000005,1.513353178,0.609711593,-2.099584325,0.745882261,5.955170066,7.979181856,2.0318690459999997,0.8575737090000001
United Arab Emirates,ARE,,,,,,,,,,,,,,,,11.77433135,5.255756091,-3.661111495,7.051020544,9.515976035,7.054483982000001,1.312868729,-3.618017219,-6.097467186,0.74053289,-1.698485297,3.6855848030000002,2.381045732,1.751276609,3.3359004939999997,0.810848725,1.80682612,1.278036305,-0.262474922,3.9074797539999997,5.773043907000001,-0.9523007059999999,-4.254445321,8.443377455,11.459535800000001,-2.3493076719999997,3.7708395489999997,4.072406796,8.501422059,16.52630693,11.96214928,12.53396067,18.53335308,-15.18297988,12.49013156,13.16725529,2.238450227,-0.866897147,-1.024898774,-15.44188595,-3.193274435,5.495133267999999,8.206537292,-4.444037108,-8.363357271
Argentina,ARG,20.31069753,28.87184165,25.59115435,28.77461732,21.23293492,25.60346243,29.01826294,10.27531056,7.795830037000001,6.467874639,31.27106388,64.24478592,65.53528737,30.63044137,197.6973645,438.3227797,159.4271777,161.372172,147.37704399999998,95.79042461,105.27636640000001,194.5352997,380.1585285,611.1963039,607.4474978,77.29223669,127.53991809999998,381.24634439999994,3046.091152,2078.316818,140.50237869999998,16.07199354,-3.561095576,2.849339715,3.16512339,-0.052375497,-0.46391313100000003,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.579991600000003,41.11937999,26.00637928,42.03366896,50.92149871,39.89121743
